gene	conMean	treatMean	logFC	pValue	fdr
P2RY12	0.479492002398664	0.95965362647216	1.00100702695812	1.28071171789156e-26	1.62051345594505e-25
TESPA1	0.291662881841871	1.21191894988864	2.05491951817533	7.5253621714099e-92	5.13360575954006e-90
IFI16	10.9214953899777	23.2193716770601	1.08815852691021	6.50464625187448e-73	2.50962048422731e-71
IL21R	0.388806364454343	1.69946127173719	2.12795374528959	6.67456539081031e-99	6.54524568636336e-97
GZMK	1.11695283766147	7.17194594610245	2.68279634427338	1.31126388495068e-95	1.11544321201136e-93
CD52	8.74734686035635	58.3926285033408	2.73886884693775	5.3425364943742e-103	6.5036170549188e-101
GPR82	0.15902409896882	0.341175841870824	1.10127008305885	5.77332087690629e-36	9.43577130819372e-35
CCL7	0.406538669265033	1.07013941826281	1.396334273222	2.0841700609813e-21	2.22117474951826e-20
PENK	0.145691774599109	0.374088966741648	1.36046198746596	1.80045934256603e-07	5.92364547445827e-07
C2	3.0887507701559	6.36619583073497	1.04340807116164	2.49432946912885e-69	8.80560660839212e-68
HLA-DRA	288.317011002227	911.092560579065	1.65994166926965	9.53386271867684e-118	5.38510701801743e-115
HSD11B1	0.911741349376392	2.91845483494432	1.67850823030064	2.48722501762228e-61	7.16777642323351e-60
CD53	9.77393678173719	33.6153017483296	1.78210642169326	2.92825943407304e-131	4.13499514685454e-127
SPI1	6.28284953273942	16.799802545657	1.41895334190273	7.39416309867181e-112	2.17527035659051e-109
CPNE5	1.03978772694877	2.12910617438753	1.03395886428539	5.40268433258094e-46	1.08987579229108e-44
CLEC4E	0.287175041599109	1.41855072741648	2.30441546734727	8.33632387919935e-76	3.46227145582865e-74
CA4	0.158597175721604	0.334601949868597	1.07707877266121	3.36830679313074e-07	1.06526002745351e-06
DOCK11	1.94743456267261	4.0731717766147	1.06457780602064	5.8121345929658e-58	1.54563375870565e-56
SELPLG	6.47732939398664	17.4544648329621	1.43012510649708	6.03244904364148e-114	2.4338346555789e-111
PLA2G2D	0.317497004877506	4.54676837092428	3.84002662243969	5.83790552262906e-80	2.68524638062036e-78
TAGAP	1.26666206391982	4.11036130178174	1.69823353729798	4.71042405505922e-99	4.6842181747529e-97
CEACAM21	0.513899746391982	1.09763727708241	1.09484253782442	2.48020540193376e-63	7.54805613808332e-62
CLEC12A	0.233305542467706	0.685689725501114	1.55533532399097	2.44036332282634e-73	9.51943935956651e-72
ADAMDEC1	1.29834663366147	7.62709689443207	2.55445842115092	6.56770194779009e-66	2.15179858943721e-64
TLDC2	0.282720006971047	0.581229029621381	1.03973277994054	1.70341734007961e-71	6.33337580885827e-70
MS4A6E	0.0246618979510022	0.12083558536971	2.29268964518646	4.74038971400084e-09	1.93130534193323e-08
CALCR	0.103525625060134	0.23902093822049	1.20714909040244	1.76288457345305e-12	1.06428786069818e-11
PRR26	0.0428203972962138	0.101130333064588	1.23984569805199	9.51890636328188e-07	2.81559440209266e-06
NCF1	0.389796037839644	1.44460508129176	1.88988381885539	1.679216760036e-108	3.38745998120977e-106
TOX	0.504102405146993	1.55138780316258	1.62177062170809	2.3259734713647e-74	9.27826875399461e-73
MAP1LC3C	0.27320051881069	0.590786780222717	1.11267732058437	1.93903434105654e-24	2.28366171226517e-23
GZMA	2.55946766902004	13.5891153142539	2.40853584851487	9.60965520301643e-105	1.3303719717823e-102
P2RX7	1.15581062694878	2.35595448418708	1.02740662756431	9.09138414018885e-55	2.26020132823251e-53
MMP1	9.88084754837416	29.8934389541648	1.59712217270135	2.77549721945491e-11	1.47674439472203e-10
CARMIL2	0.470933902690423	1.00445385358575	1.092814794001	3.52270037261126e-42	6.55389353908348e-41
TNFRSF13B	0.0593675570601336	0.360539170732739	2.60240935600926	5.95174174955433e-61	1.69786960091832e-59
SIGLEC9	0.776765842783964	1.72528023095768	1.15127904588009	3.18586849794024e-81	1.49958830198047e-79
CD69	0.994787002494432	3.62331836525612	1.86485201162085	1.14778847376752e-81	5.5317136648707e-80
PLD4	0.730255945612472	1.56011893550111	1.09518191260477	7.94816139181767e-31	1.13829601433932e-29
ASGR2	0.108543794066815	0.267409390957684	1.3007728882922	2.65167000918191e-76	1.10781752069993e-74
RAC2	8.77027860044543	24.2710854899777	1.46854405464528	2.94803091487499e-88	1.77145295952978e-86
IL12RB2	0.461525161603563	1.04150890297105	1.17419396327788	2.44353956968765e-41	4.44654926076795e-40
LYZ	35.8432834320713	174.770141507795	2.28568402261939	5.00046531205506e-87	2.84724075288425e-85
NCF2	3.51958830244989	9.01481680178174	1.35689149159079	1.66316054795488e-87	9.66481073978225e-86
ANKRD44	0.822016604721604	1.66743324966592	1.02038956717451	1.55984454627731e-53	3.74601442822821e-52
GNG8	0.231017931403118	0.633256929844098	1.45478612302148	3.8464128634636e-39	6.7138684851631e-38
CLEC17A	0.085546895518931	0.440455622717149	2.36420926478577	5.25947666028292e-50	1.1640920050134e-48
CLEC7A	2.05428669777283	4.70658916080178	1.19604438606173	5.8890888132443e-82	2.85772588081865e-80
GLYATL2	8.65771887546993	24.5018037166548	1.50082909738075	9.16011703536154e-05	0.000200232217734273
UBASH3B	0.641082448864143	1.34061014097996	1.06430793498356	1.44518686802777e-56	3.73763438890479e-55
CD1E	0.449857352908686	1.66152012772829	1.88496426095497	7.24961954090281e-52	1.67001431545006e-50
FCRL5	0.108084772167038	0.733740190948775	2.76310603243046	1.30766188237937e-57	3.45795757323578e-56
TXK	0.104023080657016	0.357199669576837	1.7798270766324	4.43258382961204e-57	1.16127117361691e-55
C16orf54	0.702350082494432	2.71801327037862	1.95229028166843	8.44730745249733e-105	1.18103394590807e-102
CD244	0.137533287042316	0.511226814498886	1.89418267454531	7.14094677823707e-92	4.89501502211095e-90
MEFV	0.0824353967483296	0.178847952939866	1.11739775449737	8.41965606894495e-43	1.59589212549761e-41
PAX5	0.0973732562093541	0.701127323552339	2.8480789667546	1.52362314606769e-49	3.34085131143196e-48
OR52N4	0.0466909142538975	0.14061523169265	1.59053913482132	4.0968532750987e-33	6.1544324571988e-32
BATF3	0.419221812249443	0.849750857683742	1.01932613020305	8.83889171468993e-62	2.58414057770469e-60
LEP	0.970087365977728	2.08518457519376	1.103988505745	2.66394997936345e-07	8.54752048593303e-07
HLA-DPB1	42.8270969621381	127.640895233853	1.57549483991487	9.97694740015064e-113	3.35439224375065e-110
KRT2	0.0639248873095768	0.180040954973274	1.49387550488274	2.82307495961782e-13	1.84217382184673e-12
FERMT3	3.95329669755011	12.3060058775056	1.63823444714419	2.11640092202565e-123	2.73347778083279e-120
CD3E	2.09616232374165	12.2066708579065	2.54184743926704	1.68243604222572e-111	4.65836850044498e-109
LTB	2.05945429822272	12.7287020556793	2.62775129875846	8.91895854498706e-79	3.97301620232689e-77
NCF4	2.56647411291759	7.15134078173719	1.47842604478778	1.52236373489069e-119	1.13143675265218e-116
LTA	0.202224925962138	1.16475027148552	2.52598792882571	3.92247033894724e-98	3.74251376055905e-96
TIFAB	0.044015122674833	0.308007166743875	2.80689272624161	3.64548401114964e-94	2.75282779259059e-92
LILRB1	0.698719783830735	2.17745056703786	1.6398540718116	1.28495204928485e-114	5.49842663271254e-112
IFNG	0.0722317985746102	0.733138743964365	3.34338025012738	8.12546612143787e-81	3.79932804969616e-79
IL18RAP	0.0929487525790646	0.444459412202673	2.25754427026137	5.74369373176031e-88	3.4222235943539e-86
GBP6	0.193553738452116	0.440776305093541	1.18731249745829	8.68247366871822e-38	1.47362032062464e-36
CR1	0.0572585166636971	0.259019563383073	2.1774988652054	4.09785730369418e-60	1.14359373489062e-58
CLDN1	6.98758855211581	14.2299269467038	1.02606168927682	6.23067320761772e-07	1.89008241385112e-06
CSF2RB	1.55766828596882	5.94984167594655	1.93346324285343	3.49017523414444e-96	3.06116549573625e-94
HLA-DOB	1.03897579757238	4.0190782169265	1.95170260678295	1.2293513975424e-64	3.85770468548805e-63
DMBT1	0.0924883046614699	1.60436116962138	4.11658419851835	0.00990239093485915	0.015313948350799
