gene	conMean	treatMean	logFC	pValue	fdr
LOX	6.45424297461024	16.7359682672606	1.37463222598414	9.57838025024552e-86	1.56496885028409e-83
COL1A1	370.484701521158	1119.83014184855	1.59579404245377	1.69780546489307e-84	2.53010328674889e-82
XCR1	0.162058808614699	0.402209228701559	1.3114287450412	1.38089073102504e-25	1.16023910801924e-24
FABP4	17.7938175501782	61.5507245976837	1.79039977590309	1.98838620484399e-17	1.07858021295557e-16
ABCD2	0.151793470265033	0.351513102730512	1.21146873574396	2.30491130506077e-33	2.68760982011428e-32
FGF16	0.0842497742628062	0.352862022599109	2.06635943997727	2.31047107772545e-54	7.08875526810743e-53
SPARC	318.228996859688	850.124775278396	1.41760930605014	3.05186726480336e-96	1.00942370678045e-93
EGR1	53.8961079109131	108.208112501114	1.00555566579803	4.5001555565323e-23	3.36605678445309e-22
GIMAP1	1.02799977728285	2.10658890178174	1.03506884949964	4.87956102741243e-44	9.57622678621418e-43
CHIT1	1.32361263350111	4.23449137126949	1.67770772275829	1.46924781231608e-11	5.16445556838216e-11
CCDC80	7.40572297209354	26.5095439665924	1.83979936395193	2.91941091122763e-113	9.89753284178947e-110
CILP2	2.29510376449889	5.5840196467706	1.28274463637059	4.92755738087843e-46	1.06236256982659e-44
AXL	7.25668599532294	15.9754958552339	1.13847796141732	1.07606398240352e-112	2.43208394422902e-109
PTPRC	4.35796449708241	10.5377612628062	1.27384205191377	4.89715784545328e-44	9.59687247719537e-43
ERVFRD-1	0.0366182869376392	0.229909172249443	2.65042781743528	2.18824810071864e-25	1.82726801070477e-24
MNDA	3.88489049064588	7.80769651670379	1.00702304502646	6.46133647661736e-52	1.81412389149913e-50
CD300LB	0.263154370824053	0.575240273429844	1.12825532728349	5.51635540204466e-39	8.49117997810756e-38
KLK3	0.121778692592428	0.575167276195991	2.23971986736132	6.52223420187079e-16	3.21045437428565e-15
DIO2	2.898125133049	7.04325143028953	1.28112169720356	4.60229521909709e-50	1.18204025504121e-48
CD28	0.610760533741648	1.3394226866147	1.13293256329671	1.61618427616122e-38	2.41643604950632e-37
KLK2	0.0392595292360802	0.211183518654788	2.42738246862559	1.91134535749986e-44	3.83996361378602e-43
ABCC9	0.699979338084633	1.42124732342984	1.02177338967786	9.64653388255253e-60	3.84754841121455e-58
